id,field,get_pv,set_pv
201,b0,SR02A-PC-VSTR-07:I,SR02A-PC-VSTR-07:SETI
203,b1,SR02A-PC-Q3E-08:I,SR02A-PC-Q3E-08:SETI
205,b2,SR02A-PC-S3E-08:I,SR02A-PC-S3E-08:SETI
206,b0,SR02A-PC-HSTR-08:I,SR02A-PC-HSTR-08:SETI
207,b0,SR02A-PC-VSTR-08:I,SR02A-PC-VSTR-08:SETI
211,x,SR02C-DI-EBPM-07:SA:X,
211,y,SR02C-DI-EBPM-07:SA:Y,
213,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
218,b2,SR02A-PC-S2BE-09:I,SR02A-PC-S2BE-09:SETI
222,b1,SR02A-PC-Q2BE-09:I,SR02A-PC-Q2BE-09:SETI
226,b2,SR02A-PC-S1BE-10:I,SR02A-PC-S1BE-10:SETI
227,b0,SR02A-PC-HSTR-10:I,SR02A-PC-HSTR-10:SETI
228,b0,SR02A-PC-VSTR-10:I,SR02A-PC-VSTR-10:SETI
230,b1,SR02A-PC-Q1BE-10:I,SR02A-PC-Q1BE-10:SETI
238,x,SR02C-DI-EBPM-08:SA:X,
238,y,SR02C-DI-EBPM-08:SA:Y,
266,x,SR03C-DI-EBPM-01:SA:X,
266,y,SR03C-DI-EBPM-01:SA:Y,
268,b1,SR03A-PC-Q1B-01:I,SR03A-PC-Q1B-01:SETI
271,b2,SR03A-PC-S1B-01:I,SR03A-PC-S1B-01:SETI
272,b0,SR03A-PC-HSTR-01:I,SR03A-PC-HSTR-01:SETI
273,b0,SR03A-PC-VSTR-01:I,SR03A-PC-VSTR-01:SETI
276,b1,SR03A-PC-Q2B-02:I,SR03A-PC-Q2B-02:SETI
278,b1,SR03A-PC-Q3B-03:I,SR03A-PC-Q3B-03:SETI
281,b2,SR03A-PC-S2B-02:I,SR03A-PC-S2B-02:SETI
282,b0,SR03A-PC-HSTR-02:I,SR03A-PC-HSTR-02:SETI
283,b0,SR03A-PC-VSTR-02:I,SR03A-PC-VSTR-02:SETI
286,x,SR03C-DI-EBPM-02:SA:X,
286,y,SR03C-DI-EBPM-02:SA:Y,
288,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
290,b1,SR03A-PC-Q2AB-04:I,SR03A-PC-Q2AB-04:SETI
292,x,SR03C-DI-EBPM-03:SA:X,
292,y,SR03C-DI-EBPM-03:SA:Y,
295,b2,SR03A-PC-S2A-03:I,SR03A-PC-S2A-03:SETI
296,b0,SR03A-PC-HSTR-03:I,SR03A-PC-HSTR-03:SETI
297,b0,SR03A-PC-VSTR-03:I,SR03A-PC-VSTR-03:SETI
300,b1,SR03A-PC-Q1AB-05:I,SR03A-PC-Q1AB-05:SETI
302,x,SR03C-DI-EBPM-04:SA:X,
302,y,SR03C-DI-EBPM-04:SA:Y,
305,b2,SR03A-PC-S1A-04:I,SR03A-PC-S1A-04:SETI
306,b0,SR03A-PC-HSTR-04:I,SR03A-PC-HSTR-04:SETI
307,b0,SR03A-PC-VSTR-04:I,SR03A-PC-VSTR-04:SETI
310,b1,SR03A-PC-Q1AB-06:I,SR03A-PC-Q1AB-06:SETI
313,b2,SR03A-PC-S2A-05:I,SR03A-PC-S2A-05:SETI
314,b0,SR03A-PC-HSTR-05:I,SR03A-PC-HSTR-05:SETI
315,b0,SR03A-PC-VSTR-05:I,SR03A-PC-VSTR-05:SETI
318,b1,SR03A-PC-Q2AB-07:I,SR03A-PC-Q2AB-07:SETI
320,x,SR03C-DI-EBPM-05:SA:X,
320,y,SR03C-DI-EBPM-05:SA:Y,
322,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
325,b2,SR03A-PC-S2B-06:I,SR03A-PC-S2B-06:SETI
326,b0,SR03A-PC-HSTR-06:I,SR03A-PC-HSTR-06:SETI
327,b0,SR03A-PC-VSTR-06:I,SR03A-PC-VSTR-06:SETI
330,b1,SR03A-PC-Q3B-08:I,SR03A-PC-Q3B-08:SETI
332,x,SR03C-DI-EBPM-06:SA:X,
332,y,SR03C-DI-EBPM-06:SA:Y,
334,b1,SR03A-PC-Q2B-09:I,SR03A-PC-Q2B-09:SETI
337,b2,SR03A-PC-S1B-07:I,SR03A-PC-S1B-07:SETI
338,b0,SR03A-PC-HSTR-07:I,SR03A-PC-HSTR-07:SETI
339,b0,SR03A-PC-VSTR-07:I,SR03A-PC-VSTR-07:SETI
342,b1,SR03A-PC-Q1B-10:I,SR03A-PC-Q1B-10:SETI
344,x,SR03C-DI-EBPM-07:SA:X,
344,y,SR03C-DI-EBPM-07:SA:Y,
382,x,SR04C-DI-EBPM-01:SA:X,
382,y,SR04C-DI-EBPM-01:SA:Y,
384,b1,SR04A-PC-Q1B-01:I,SR04A-PC-Q1B-01:SETI
387,b2,SR04A-PC-S1C-01:I,SR04A-PC-S1C-01:SETI
388,b0,SR04A-PC-HSTR-01:I,SR04A-PC-HSTR-01:SETI
389,b0,SR04A-PC-VSTR-01:I,SR04A-PC-VSTR-01:SETI
392,b1,SR04A-PC-Q2B-02:I,SR04A-PC-Q2B-02:SETI
394,b1,SR04A-PC-Q3B-03:I,SR04A-PC-Q3B-03:SETI
397,b2,SR04A-PC-S2C-02:I,SR04A-PC-S2C-02:SETI
398,b0,SR04A-PC-HSTR-02:I,SR04A-PC-HSTR-02:SETI
399,b0,SR04A-PC-VSTR-02:I,SR04A-PC-VSTR-02:SETI
402,x,SR04C-DI-EBPM-02:SA:X,
402,y,SR04C-DI-EBPM-02:SA:Y,
404,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
406,b1,SR04A-PC-Q2AB-04:I,SR04A-PC-Q2AB-04:SETI
408,x,SR04C-DI-EBPM-03:SA:X,
