id,name,type,length
221,221,DRIFT,0.069280
222,222,QUAD,0.250000
223,223,DRIFT,0.000559
224,224,DRIFT,0.003000
225,225,DRIFT,0.168941
226,226,SEXT,0.175000
227,227,HSTR,0.000000
228,228,VSTR,0.000000
229,229,DRIFT,0.112500
230,230,QUAD,0.250000
231,231,DRIFT,0.061559
232,232,DRIFT,0.003000
233,233,DRIFT,0.113000
234,234,DRIFT,0.048442
235,235,DRIFT,0.086001
236,236,DRIFT,0.130999
237,237,DRIFT,0.100000
238,238,BPM,0.000000
239,239,DRIFT,0.002500
240,240,DRIFT,1.119500
241,241,DRIFT,0.050000
242,242,HCHICA,0.000000
243,243,DRIFT,0.050000
244,244,DRIFT,0.281500
245,245,DRIFT,0.150000
246,246,HTRIM,0.000000
247,247,VTRIM,0.000000
248,248,DRIFT,0.150000
249,249,DRIFT,0.976500
250,250,source,0.000000
251,251,DRIFT,0.976500
252,252,DRIFT,0.150000
253,253,HTRIM,0.000000
254,254,VTRIM,0.000000
255,255,DRIFT,0.150000
256,256,DRIFT,0.055000
257,257,DRIFT,0.050000
258,258,HCHICA,0.000000
259,259,DRIFT,0.050000
260,260,DRIFT,0.907000
261,261,DRIFT,0.050000
262,262,HCHICA,0.000000
263,263,DRIFT,0.050000
264,264,DRIFT,0.439000
265,265,DRIFT,0.002500
266,266,BPM,0.000000
267,267,DRIFT,1.288300
268,268,QUAD,0.406400
269,269,DRIFT,0.146800
270,270,DRIFT,0.005000
271,271,SEXT,0.290000
272,272,HSTR,0.000000
273,273,VSTR,0.000000
274,274,DRIFT,0.005000
275,275,DRIFT,0.231850
276,276,QUAD,0.606300
277,277,DRIFT,0.458350
278,278,QUAD,0.307000
279,279,DRIFT,0.196500
280,280,DRIFT,0.005000
281,281,SEXT,0.290000
282,282,HSTR,0.000000
283,283,VSTR,0.000000
284,284,DRIFT,0.005000
285,285,DRIFT,0.185000
286,286,BPM,0.000000
287,287,DRIFT,0.484000
288,288,BEND,0.933000
289,289,DRIFT,0.585800
290,290,QUAD,0.406400
291,291,DRIFT,0.158300
292,292,BPM,0.000000
293,293,DRIFT,0.263500
294,294,DRIFT,0.005000
295,295,SEXT,0.190000
296,296,HSTR,0.000000
297,297,VSTR,0.000000
298,298,DRIFT,0.005000
299,299,DRIFT,0.195200
300,300,QUAD,0.407600
301,301,DRIFT,0.118700
302,302,BPM,0.000000
303,303,DRIFT,0.116000
304,304,DRIFT,0.005000
305,305,SEXT,0.290000
306,306,HSTR,0.000000
307,307,VSTR,0.000000
308,308,DRIFT,0.005000
309,309,DRIFT,0.234700
310,310,QUAD,0.407600
311,311,DRIFT,0.195200
312,312,DRIFT,0.005000
313,313,SEXT,0.190000
314,314,HSTR,0.000000
315,315,VSTR,0.000000
316,316,DRIFT,0.005000
317,317,DRIFT,0.421800
318,318,QUAD,0.406400
319,319,DRIFT,0.101800
320,320,BPM,0.000000
321,321,DRIFT,0.484000
322,322,BEND,0.933000
323,323,DRIFT,0.669000
324,324,DRIFT,0.005000
325,325,SEXT,0.290000
326,326,HSTR,0.000000
327,327,VSTR,0.000000
328,328,DRIFT,0.005000
329,329,DRIFT,0.196500
330,330,QUAD,0.307000
331,331,DRIFT,0.173000
332,332,BPM,0.000000
333,333,DRIFT,0.285350
334,334,QUAD,0.606300
335,335,DRIFT,0.231850
336,336,DRIFT,0.005000
337,337,SEXT,0.290000
338,338,HSTR,0.000000
339,339,VSTR,0.000000
340,340,DRIFT,0.005000
341,341,DRIFT,0.146800
342,342,QUAD,0.406400
343,343,DRIFT,1.288300
344,344,BPM,0.000000
345,345,DRIFT,0.002500
346,346,DRIFT,1.219500
347,347,DRIFT,0.050000
348,348,HCHICA,0.000000
349,349,DRIFT,0.050000
350,350,DRIFT,0.280500
351,351,DRIFT,0.150000
352,352,HTRIM,0.000000
353,353,VTRIM,0.000000
354,354,DRIFT,0.150000
355,355,DRIFT,0.977500
356,356,source,0.000000
357,357,DRIFT,0.977500
358,358,DRIFT,0.150000
359,359,HTRIM,0.000000
360,360,VTRIM,0.000000
361,361,DRIFT,0.150000
362,362,DRIFT,0.054000
363,363,DRIFT,0.050000
364,364,HCHICA,0.000000
365,365,DRIFT,0.050000
366,366,DRIFT,0.150000
367,367,HTRIM,0.000000
368,368,VTRIM,0.000000
369,369,DRIFT,0.150000
370,370,DRIFT,0.153500
371,371,source,0.000000
372,372,DRIFT,0.153500
373,373,DRIFT,0.150000
374,374,HTRIM,0.000000
375,375,VTRIM,0.000000
376,376,DRIFT,0.150000
377,377,DRIFT,0.050000
378,378,HCHICA,0.000000
379,379,DRIFT,0.050000
380,380,DRIFT,0.439000
381,381,DRIFT,0.002500
382,382,BPM,0.000000
383,383,DRIFT,1.288300
384,384,QUAD,0.406400
385,385,DRIFT,0.146800
386,386,DRIFT,0.005000
387,387,SEXT,0.290000
388,388,HSTR,0.000000
389,389,VSTR,0.000000
390,390,DRIFT,0.005000
391,391,DRIFT,0.231850
392,392,QUAD,0.606300
393,393,DRIFT,0.458350
394,394,QUAD,0.307000
395,395,DRIFT,0.196500
396,396,DRIFT,0.005000
397,397,SEXT,0.290000
398,398,HSTR,0.000000
399,399,VSTR,0.000000
400,400,DRIFT,0.005000
401,401,DRIFT,0.185000
402,402,BPM,0.000000
403,403,DRIFT,0.484000
404,404,BEND,0.933000
405,405,DRIFT,0.585800
406,406,QUAD,0.406400
407,407,DRIFT,0.158300
408,408,BPM,0.000000
409,409,DRIFT,0.263500
410,410,DRIFT,0.005000
411,411,SEXT,0.190000
412,412,HSTR,0.000000
413,413,VSTR,0.000000
414,414,DRIFT,0.005000
415,415,DRIFT,0.195200
416,416,QUAD,0.407600
417,417,DRIFT,0.118700
418,418,BPM,0.000000
419,419,DRIFT,0.116000
420,420,DRIFT,0.005000
421,421,SEXT,0.290000
422,422,HSTR,0.000000
423,423,VSTR,0.000000
424,424,DRIFT,0.005000
425,425,DRIFT,0.234700
426,426,QUAD,0.407600
427,427,DRIFT,0.195200
428,428,DRIFT,0.005000
429,429,SEXT,0.190000
430,430,HSTR,0.000000
431,431,VSTR,0.000000
432,432,DRIFT,0.005000
433,433,DRIFT,0.421800
434,434,QUAD,0.406400
435,435,DRIFT,0.101800
436,436,BPM,0.000000
437,437,DRIFT,0.484000
438,438,BEND,0.933000
439,439,DRIFT,0.669000
440,440,DRIFT,0.005000
441,441,SEXT,0.290000
442,442,HSTR,0.000000
443,443,VSTR,0.000000
444,444,DRIFT,0.005000
445,445,DRIFT,0.196500
446,446,QUAD,0.307000
447,447,DRIFT,0.173000
448,448,BPM,0.000000
449,449,DRIFT,0.285350
450,450,QUAD,0.606300
451,451,DRIFT,0.231850
452,452,DRIFT,0.005000
453,453,SEXT,0.290000
454,454,HSTR,0.000000
455,455,VSTR,0.000000
456,456,DRIFT,0.005000
457,457,DRIFT,0.146800
458,458,QUAD,0.406400
459,459,DRIFT,1.288300
460,460,BPM,0.000000
